# Logfile created on Wed Oct 10 21:51:47 +0200 2012 by logger.rb/22285
I, [2012-10-10T23:34:04.941532 #11167]  INFO -- : CAS SERVICE STARTED
I, [2012-10-10T23:37:51.084372 #11194]  INFO -- : CAS SERVICE STARTED
I, [2012-10-10T23:40:20.472579 #11214]  INFO -- : CAS SERVICE STARTED
I, [2012-10-10T23:41:12.549109 #11214]  INFO -- : Ticket ST-59a5d54e03ef37ff25bf3a5de7635e6d was validated for service http://mrt2.blogdns.org/grr/index.php for user tacks
I, [2012-10-10T23:42:08.214735 #11214]  INFO -- : Ticket ST-4b445af07d6c465fa72006ae9f064937 was validated for service http://mrt2.blogdns.org/grr/index.php for user tacks
I, [2012-10-11T09:02:10.070299 #13425]  INFO -- : CAS service started
I, [2012-10-11T09:02:29.563159 #13425]  INFO -- : Logout request for user 
I, [2012-10-11T09:02:37.543601 #13425]  INFO -- : Login request
I, [2012-10-11T09:02:37.546714 #13425]  INFO -- : authentication succeeded for user tacks
I, [2012-10-11T09:02:47.510990 #13425]  INFO -- : Ticket ST-58950caa234dfa5faed91ea72a5bfe71 emitted for service http://mrt2.blogdns.org/grr/index.php and user tacks, will redirect
I, [2012-10-11T09:02:47.804374 #13425]  INFO -- : Ticket ST-58950caa234dfa5faed91ea72a5bfe71 was validated for service http://mrt2.blogdns.org/grr/index.php for user tacks
I, [2012-10-11T09:03:49.906148 #13425]  INFO -- : Logout request for user tacks
I, [2012-10-11T09:05:03.095371 #13425]  INFO -- : Login request
I, [2012-10-11T09:05:03.099556 #13425]  INFO -- : authentication succeeded for user admin
I, [2012-10-11T09:05:03.245314 #13425]  INFO -- : Ticket ST-62f5185506c29025daa23a814740280e emitted for service http://mrt2.blogdns.org/grr/index.php and user admin, will redirect
I, [2012-10-11T09:05:03.527507 #13425]  INFO -- : Ticket ST-62f5185506c29025daa23a814740280e was validated for service http://mrt2.blogdns.org/grr/index.php for user admin
